"SITE_ID","LATITUDE","LONGITUDE"
1,41.6709918952829,-87.7324568962847
14,41.834243,-87.6238
22,41.6871654376343,-87.5393154841479
32,41.755832412403,-87.545349670582
50,41.7075695897648,-87.5685738570845
52,41.9654848301767,-87.7499280553202
57,41.9128621248178,-87.7227234452095
64,41.7907868783739,-87.6016464917605
76,41.7513999786378,-87.7134881520007
1003,41.9843323270383,-87.7920016971163
1018,41.773889,-87.815278
1601,41.6681203371799,-87.9905696935943
2001,41.6621094347378,-87.6964665157993
3301,41.7827660079251,-87.8053767946675
4002,41.8552431328191,-87.7524696987103
4101,42.053333,-88.108056
6004,41.8721168410596,-87.8290802510295
6005,41.8644264230095,-87.7489023825124
6006,41.8728971999587,-87.8258724913966
8003,41.631389,-87.568056
