0,3,0,22,7.25
1,1,1,38,71.2833
1,3,1,26,7.925
1,1,1,35,53.1
0,3,0,35,8.05
0,1,0,54,51.8625
0,3,0,2,21.075
1,3,1,27,11.1333
1,2,1,14,30.0708
1,3,1,4,16.7
1,1,1,58,26.55
0,3,0,20,8.05
0,3,0,39,31.275
0,3,1,14,7.8542
1,2,1,55,16
0,3,0,2,29.125
0,3,1,31,18
0,2,0,35,26
1,2,0,34,13
1,3,1,15,8.0292
1,1,0,28,35.5
0,3,1,8,21.075
1,3,1,38,31.3875
0,1,0,19,263
0,1,0,40,27.7208
0,2,0,66,10.5
0,1,0,28,82.1708
0,1,0,42,52
0,3,0,21,8.05
0,3,1,18,18
1,3,1,14,11.2417
0,3,1,40,9.475
0,2,1,27,21
1,2,1,3,41.5792
1,3,1,19,7.8792
0,3,1,18,17.8
0,3,0,7,39.6875
0,3,0,21,7.8
1,1,1,49,76.7292
1,2,1,29,26
0,1,0,65,61.9792
1,2,1,21,10.5
0,3,0,28.5,7.2292
1,2,1,5,27.75
0,3,0,11,46.9
0,3,0,22,7.2292
1,1,1,38,80
0,1,0,45,83.475
0,3,0,4,27.9
1,2,1,29,10.5
0,3,0,19,8.1583
1,3,1,17,7.925
0,3,0,26,8.6625
0,2,0,32,10.5
0,3,1,16,46.9
0,2,0,21,73.5
0,3,0,26,14.4542
1,3,0,32,56.4958
0,3,0,25,7.65
1,2,0,0.83,29
1,3,1,30,12.475
0,3,0,22,9
1,3,0,29,9.5
0,1,0,28,47.1
1,2,1,17,10.5
1,3,1,33,15.85
0,3,0,16,34.375
1,1,1,23,263
0,3,0,24,8.05
0,3,0,29,8.05
0,3,0,20,7.8542
0,1,0,46,61.175
0,3,0,26,20.575
0,3,0,59,7.25
0,1,0,71,34.6542
1,1,0,23,63.3583
1,2,1,34,23
0,2,0,34,26
0,3,1,28,7.8958
0,1,0,21,77.2875
0,3,0,33,8.6542
0,3,0,37,7.925
0,3,0,28,7.8958
1,3,1,21,7.65
0,3,0,38,7.8958
0,1,0,47,52
0,3,1,14.5,14.4542
0,3,0,22,8.05
0,3,1,20,9.825
0,3,1,17,14.4583
0,3,0,21,7.925
0,3,0,70.5,7.75
0,2,0,29,21
0,1,0,24,247.5208
0,3,1,2,31.275
0,2,0,21,73.5
0,2,0,32.5,30.0708
1,2,1,32.5,13
0,1,0,54,77.2875
1,3,0,12,11.2417
1,3,0,24,7.1417
0,3,0,45,6.975
0,3,0,33,7.8958
0,3,0,20,7.05
0,3,1,47,14.5
1,2,1,29,26
0,2,0,25,13
0,2,0,23,15.0458
1,1,1,19,26.2833
0,1,0,37,53.1
0,3,0,16,9.2167
0,1,0,24,79.2
1,3,1,22,7.75
1,3,1,24,15.85
0,3,0,19,6.75
0,2,0,18,11.5
0,2,0,19,36.75
1,3,0,27,7.7958
0,3,1,9,34.375
0,2,0,36.5,26
0,2,0,42,13
0,2,0,51,12.525
1,1,1,22,66.6
0,3,0,55.5,8.05
0,3,0,40.5,14.5
0,1,0,51,61.3792
1,3,1,16,7.7333
0,3,0,30,8.05
0,3,0,44,16.1
1,2,1,40,15.75
0,3,0,26,7.775
0,3,0,17,8.6625
0,3,0,1,39.6875
1,3,0,9,20.525
0,3,1,45,27.9
0,3,0,28,56.4958
0,1,0,61,33.5
0,3,0,4,29.125
1,3,1,1,11.1333
0,3,0,21,7.925
0,1,0,56,30.6958
0,3,0,18,7.8542
0,1,1,50,28.7125
0,2,0,30,13
0,3,0,36,0
0,3,0,9,31.3875
1,2,0,1,39
1,3,1,4,22.025
1,1,0,45,26.55
0,3,0,40,15.5
0,3,0,36,7.8958
1,2,1,32,13
0,2,0,19,13
1,3,1,19,7.8542
1,2,0,3,26
1,1,1,44,27.7208
1,1,1,58,146.5208
0,3,0,42,8.4042
0,2,1,24,13
0,3,0,28,9.5
0,3,0,34,6.4958
0,3,0,45.5,7.225
1,3,0,18,8.05
0,3,1,2,10.4625
0,3,0,32,15.85
1,3,0,26,18.7875
1,3,1,16,7.75
1,1,0,40,31
0,3,0,24,7.05
1,2,1,35,21
0,3,0,22,7.25
0,2,0,30,13
1,1,1,31,113.275
1,3,1,27,7.925
0,2,0,42,27
1,1,1,32,76.2917
0,2,0,30,10.5
1,3,0,16,8.05
0,2,0,27,13
0,3,0,51,8.05
1,1,0,38,90
0,3,0,22,9.35
1,2,0,19,10.5
0,3,0,20.5,7.25
0,2,0,18,13
1,1,1,35,83.475
0,3,0,29,7.775
0,2,0,59,13.5
1,3,1,5,31.3875
0,2,0,24,10.5
0,2,0,44,26
1,2,1,8,26.25
0,2,0,19,10.5
0,2,0,33,12.275
0,2,0,29,10.5
0,3,0,22,7.125
0,3,0,30,7.225
0,1,0,44,90
0,3,1,25,7.775
1,2,1,24,14.5
1,1,0,37,52.5542
